Generation,Original strategy,Short original strategy,simplified strategy,Short simplified strategy,Original Depth,Simplified Depth,Original Complexity,Simple Complexity
0,random-unexecuted-action-of-type:type-of-action-of:if-then-else:equalstype:type-of-action-of:if-then-else:or:type-actions-available:type-actions-available:random-unexecuted-action-of-type:drag-action:random-action-of-type-other-than:type-action:type-of-action-of:if-then-else:greater-than:number-of-unexecuted-type-actions:number-of-type-actions:random-action-of-type:type-action:random-unexecuted-action-of-type:type-action:random-action-of-type-other-than:type-of-action-of:if-then-else:not:type-actions-available:random-action-of-type-other-than:click-action:if-then-else:type-actions-available:random-action:previous-action:if-then-else:and:or:and:type-actions-available:left-clicks-available:equals:number-of-unexecuted-type-actions:number-of-drag-actions:equals:number-of-actions-of-type:hit-key-action:number-of-actions-of-type:hit-key-action:random-action-of-type:type-of-action-of:random-action-of-type-other-than:click-action:random-unexecuted-action-of-type:type-of-action-of:if-then-else:left-clicks-available:random-action:random-action:,25G85GS442CW35GFROV323W5GI4WBG4UTGASA4HERLEK6K6V5WB25GHUU,random-unexecuted-action-of-type:type-of-action-of:if-then-else:equalstype:type-of-action-of:if-then-else:type-actions-available:random-unexecuted-action-of-type:drag-action:random-action-of-type-other-than:type-action:type-of-action-of:if-then-else:greater-than:number-of-unexecuted-type-actions:number-of-type-actions:random-action-of-type:type-action:random-unexecuted-action-of-type:type-action:random-action-of-type-other-than:type-of-action-of:if-then-else:not:type-actions-available:random-action-of-type-other-than:click-action:if-then-else:type-actions-available:random-action:previous-action:if-then-else:or:and:type-actions-available:left-clicks-available:equals:number-of-unexecuted-type-actions:number-of-drag-actions:random-action-of-type:type-of-action-of:random-action-of-type-other-than:click-action:random-unexecuted-action-of-type:type-of-action-of:random-action:,25G85G42CW35GFROV323W5GI4WBG4UTGSA4HERLV5WB25U,8,8,8,7
0,random-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-least-executed-action:,V5W5X,random-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-least-executed-action:,V5W5X,5,5,1,1
0,random-unexecuted-action-of-type:type-of-action-of:random-unexecuted-action-of-type:hit-key-action:,2526,random-unexecuted-action-of-type:hit-key-action:,26,4,2,1,1
0,random-action-of-type:type-of-action-of:random-action-of-type:hit-key-action:,V5V6,random-action-of-type:hit-key-action:,V6,4,2,1,1
0,random-unexecuted-action-of-type:type-action:,23,random-unexecuted-action-of-type:type-action:,23,2,2,1,1
0,if-then-else:drag-actions-available:random-least-executed-action:random-action-of-type:drag-action:,GDXVC,if-then-else:drag-actions-available:random-least-executed-action:random-action-of-type:drag-action:,GDXVC,3,3,2,2
0,random-action-of-type-other-than:type-action:,W3,random-action-of-type-other-than:type-action:,W3,2,2,1,1
0,random-action-of-type:type-of-action-of:random-action-of-type:type-of-action-of:random-unexecuted-action-of-type:drag-action:,V5V52C,random-action-of-type:drag-action:,VC,6,2,1,1
0,if-then-else:state-has-not-changed:random-unexecuted-action:random-most-executed-action:,G71Y,if-then-else:state-has-not-changed:random-unexecuted-action:random-most-executed-action:,G71Y,2,2,2,2
0,random-action-of-type:type-of-action-of:random-action-of-type:type-of-action-of:random-unexecuted-action-of-type:hit-key-action:,V5V526,random-action-of-type:hit-key-action:,V6,6,2,1,1
0,random-unexecuted-action-of-type:type-of-action-of:random-unexecuted-action:,251,random-unexecuted-action:,1,3,1,1,1
0,random-unexecuted-action-of-type:type-of-action-of:random-action-of-type:drag-action:,25VC,random-unexecuted-action-of-type:drag-action:,2C,4,2,1,1
0,if-then-else:and:state-has-not-changed:left-clicks-available:random-unexecuted-action:random-action:,GA7H1U,if-then-else:and:state-has-not-changed:left-clicks-available:random-unexecuted-action:random-action:,GA7H1U,3,3,2,2
0,random-unexecuted-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:if-then-else:drag-actions-available:random-least-executed-action:random-action:,2525GDXU,random-unexecuted-action-of-type:type-of-action-of:if-then-else:drag-actions-available:random-least-executed-action:random-action:,25GDXU,6,4,2,2
0,if-then-else:type-actions-available:random-action:random-unexecuted-action:,G4U1,if-then-else:type-actions-available:random-action:random-unexecuted-action:,G4U1,2,2,2,2
0,random-action-of-type:type-of-action-of:random-action:,V5U,random-action:,U,3,1,1,1
0,random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-least-executed-action:,W5W5X,random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-least-executed-action:,W5W5X,5,5,1,1
0,random-action-of-type:type-of-action-of:if-then-else:equals:number-of-actions-of-type:drag-action:number-of-actions-of-type:click-action:random-action-of-type-other-than:type-of-action-of:random-action:random-action-of-type-other-than:type-of-action-of:previous-action:,V5GEKCKBW5UW5T,random-action-of-type:type-of-action-of:if-then-else:equals:number-of-actions-of-type:drag-action:number-of-actions-of-type:click-action:random-action-of-type-other-than:type-of-action-of:random-action:random-action-of-type-other-than:type-of-action-of:previous-action:,V5GEKCKBW5UW5T,6,6,2,2
0,random-action-of-type:type-of-action-of:random-unexecuted-action:,V51,random-action-of-type:type-of-action-of:random-unexecuted-action:,V51,3,3,1,1
