Subpopulation,Counter,Strategy,Short strategy,Simplified strategy,Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity,fitness,timestamp
0,56,random-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-unexecuted-action:,V525251,V51,1.0,17.0,5.0,5.0,3.0,5.0,0.0,0.0,0.0,0.25,2019-05-01 07:59:39
0,57,random-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-unexecuted-action:,V525251,V51,1.0,20.0,6.0,6.0,2.0,6.0,0.0,0.0,0.0,0.2857142857142857,2019-05-01 08:00:14
0,58,random-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-unexecuted-action:,V525251,V51,1.0,16.0,8.0,8.0,3.0,5.0,0.0,0.0,0.0,0.2857142857142857,2019-05-01 08:00:46
0,59,random-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-unexecuted-action:,V525251,V51,1.0,16.0,10.0,10.0,3.0,9.0,0.0,0.0,0.0,0.25,2019-05-01 08:01:19
0,60,random-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-unexecuted-action:,V525251,V51,1.0,16.0,7.6,7.6,2.6,6.0,0.0,0.0,0.0,0.2777777777777778,2019-05-01 08:01:52
0,61,if-then-else:not:left-clicks-available:random-action-of-type-other-than:click-action:if-then-else:drag-actions-available:random-action:random-action:,GIHWBGDUU,GIHWBU,1.0,17.0,8.0,8.0,2.0,8.0,0.0,0.0,0.0,0.3333333333333333,2019-05-01 08:02:25
0,62,if-then-else:not:left-clicks-available:random-action-of-type-other-than:click-action:if-then-else:drag-actions-available:random-action:random-action:,GIHWBGDUU,GIHWBU,1.0,16.0,10.0,10.0,6.0,9.0,0.0,0.0,0.0,0.14285714285714285,2019-05-01 08:02:57
0,63,if-then-else:not:left-clicks-available:random-action-of-type-other-than:click-action:if-then-else:drag-actions-available:random-action:random-action:,GIHWBGDUU,GIHWBU,1.0,16.0,8.0,8.0,3.0,7.0,0.0,0.0,0.0,0.16666666666666666,2019-05-01 08:03:29
0,64,if-then-else:not:left-clicks-available:random-action-of-type-other-than:click-action:if-then-else:drag-actions-available:random-action:random-action:,GIHWBGDUU,GIHWBU,1.0,15.0,10.0,10.0,3.0,9.0,0.0,0.0,0.0,0.19047619047619047,2019-05-01 08:04:01
0,65,if-then-else:not:left-clicks-available:random-action-of-type-other-than:click-action:if-then-else:drag-actions-available:random-action:random-action:,GIHWBGDUU,GIHWBU,1.0,16.0,9.2,9.2,3.0,8.2,0.0,0.0,0.0,0.25,2019-05-01 08:04:33
0,66,if-then-else:or:and:left-clicks-available:greater-than:number-of-type-actions:number-of-left-clicks:equalstype:drag-action:click-action:previous-action:random-most-executed-action:,GSAHFOM8CBTY,GAHFOMTY,1.0,16.0,8.0,8.0,2.0,2.0,1.0,0.0,0.0,0.3333333333333333,2019-05-01 08:05:06
0,67,if-then-else:or:and:left-clicks-available:greater-than:number-of-type-actions:number-of-left-clicks:equalstype:drag-action:click-action:previous-action:random-most-executed-action:,GSAHFOM8CBTY,GAHFOMTY,1.0,17.0,10.0,10.0,5.0,5.0,6.0,0.0,0.0,0.16666666666666666,2019-05-01 08:05:42
0,68,if-then-else:or:and:left-clicks-available:greater-than:number-of-type-actions:number-of-left-clicks:equalstype:drag-action:click-action:previous-action:random-most-executed-action:,GSAHFOM8CBTY,GAHFOMTY,1.0,16.0,10.0,10.0,5.0,9.0,8.0,0.0,0.0,0.16666666666666666,2019-05-01 08:06:12
