Subpopulation,Counter,Strategy,Short strategy,Simplified strategy,Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity,fitness,timestamp
0,70,random-unexecuted-action-of-type:drag-action:,2C,2C,1.0,14.0,10.0,10.0,8.0,8.0,10.0,0.0,0.0,0.1111111111111111,2019-05-01 08:08:52
0,71,random-unexecuted-action-of-type:drag-action:,2C,2C,1.0,14.0,10.0,10.0,6.5,6.0,10.0,0.0,0.0,0.13333333333333333,2019-05-01 08:09:20
0,72,random-action-of-type-other-than:type-of-action-of:random-most-executed-action:,W5Y,W5Y,1.0,10.0,10.0,10.0,3.0,10.0,1.0,0.0,0.0,0.25,2019-05-01 08:09:46
0,73,random-action-of-type-other-than:type-of-action-of:random-most-executed-action:,W5Y,W5Y,1.0,12.0,10.0,10.0,3.0,10.0,1.0,0.0,0.0,0.25,2019-05-01 08:10:13
0,74,random-action:,U,U,1.0,9.0,10.0,10.0,3.0,4.0,0.0,0.0,0.0,0.25,2019-05-01 08:10:37
0,75,random-action:,U,U,1.0,15.0,10.0,10.0,5.0,8.0,0.0,0.0,0.0,0.16666666666666666,2019-05-01 08:11:07
0,76,random-action-of-type:drag-action:,VC,VC,1.0,14.0,10.0,10.0,6.0,8.0,10.0,0.0,0.0,0.14285714285714285,2019-05-01 08:11:36
0,77,random-action-of-type:drag-action:,VC,VC,1.0,13.5,10.0,10.0,7.0,7.5,10.0,0.0,0.0,0.125,2019-05-01 08:12:05
0,78,if-then-else:equalstype:type-action:type-action:random-action-of-type:hit-key-action:random-least-executed-action:,G833V6X,V6,1.0,15.0,10.0,10.0,5.0,6.0,10.0,0.0,0.0,0.16666666666666666,2019-05-01 08:12:34
0,79,if-then-else:equalstype:type-action:type-action:random-action-of-type:hit-key-action:random-least-executed-action:,G833V6X,V6,1.0,14.5,10.0,10.0,6.0,8.0,10.0,0.0,0.0,0.14285714285714285,2019-05-01 08:13:03
1,0,random-action-of-type:drag-action:,VC,VC,1.0,13.5,10.0,10.0,7.0,7.5,10.0,0.0,0.0,0.125,2019-05-01 08:13:03
1,80,if-then-else:equalstype:type-action:type-action:random-unexecuted-action-of-type:type-action:random-least-executed-action:,G83323X,23,1.0,21.0,10.0,10.0,6.0,6.0,10.0,0.0,0.0,0.14285714285714285,2019-05-01 08:13:39
1,81,if-then-else:equalstype:type-action:type-action:random-unexecuted-action-of-type:type-action:random-least-executed-action:,G83323X,23,1.0,18.0,10.0,10.0,7.0,7.0,10.0,0.0,0.0,0.125,2019-05-01 08:14:08
1,0,random-action-of-type:drag-action:,VC,VC,1.0,13.5,10.0,10.0,7.0,7.5,10.0,0.0,0.0,0.125,2019-05-01 08:14:08
1,0,if-then-else:equalstype:type-action:type-action:random-action-of-type:hit-key-action:random-least-executed-action:,G833V6X,V6,1.0,14.5,10.0,10.0,6.0,8.0,10.0,0.0,0.0,0.14285714285714285,2019-05-01 08:14:09
1,0,random-unexecuted-action-of-type:drag-action:,2C,2C,1.0,14.0,10.0,10.0,6.5,6.0,10.0,0.0,0.0,0.13333333333333333,2019-05-01 08:14:09
2,0,random-action-of-type:drag-action:,VC,VC,1.0,13.5,10.0,10.0,7.0,7.5,10.0,0.0,0.0,0.125,2019-05-01 08:14:09
2,0,random-action-of-type:drag-action:,VC,VC,1.0,13.5,10.0,10.0,7.0,7.5,10.0,0.0,0.0,0.125,2019-05-01 08:14:09
2,0,random-action-of-type:drag-action:,VC,VC,1.0,13.5,10.0,10.0,7.0,7.5,10.0,0.0,0.0,0.125,2019-05-01 08:14:09
2,0,random-action-of-type:drag-action:,VC,VC,1.0,13.5,10.0,10.0,7.0,7.5,10.0,0.0,0.0,0.125,2019-05-01 08:14:09
2,0,random-unexecuted-action-of-type:drag-action:,2C,2C,1.0,14.0,10.0,10.0,6.5,6.0,10.0,0.0,0.0,0.13333333333333333,2019-05-01 08:14:09
3,0,random-action-of-type:drag-action:,VC,VC,1.0,13.5,10.0,10.0,7.0,7.5,10.0,0.0,0.0,0.125,2019-05-01 08:14:09
3,82,previous-action:,T,T,1.0,9.0,10.0,10.0,2.0,1.0,0.0,0.0,0.0,0.3333333333333333,2019-05-01 08:14:33
3,83,previous-action:,T,T,1.0,9.0,10.0,10.0,1.5,1.0,0.0,0.0,0.0,0.4,2019-05-01 08:14:56
3,0,random-unexecuted-action-of-type:type-action:,23,23,1.0,18.0,10.0,10.0,7.0,7.0,10.0,0.0,0.0,0.125,2019-05-01 08:14:56
3,84,random-action-of-type:type-of-action-of:random-action-of-type-other-than:drag-action:,V5WC,V5WC,1.0,13.0,10.0,10.0,6.0,7.0,0.0,0.0,0.0,0.14285714285714285,2019-05-01 08:15:24
3,85,random-action-of-type:type-of-action-of:random-action-of-type-other-than:drag-action:,V5WC,V5WC,1.0,11.5,10.0,10.0,6.0,9.0,0.0,0.0,0.0,0.14285714285714285,2019-05-01 08:15:50
3,0,random-unexecuted-action-of-type:drag-action:,2C,2C,1.0,14.0,10.0,10.0,6.5,6.0,10.0,0.0,0.0,0.13333333333333333,2019-05-01 08:15:50
