Subpopulation,Counter,Strategy,Short strategy,Simplified strategy,Sequence,Duration,States,Actions,UniqueStates,UniqueActions,NotFoundActions,IrregularActions,Severity,fitness,timestamp
0,86,random-most-executed-action:,Y,Y,1.0,12.0,10.0,10.0,2.0,1.0,0.0,0.0,0.0,0.3333333333333333,2019-05-01 20:31:49
0,87,random-most-executed-action:,Y,Y,1.0,10.5,10.0,10.0,2.0,2.0,1.0,0.0,0.0,0.3333333333333333,2019-05-01 20:32:13
0,88,if-then-else:and:equals:number-of-actions:number-of-unexecuted-drag-actions:not:state-has-not-changed:if-then-else:and:left-clicks-available:left-clicks-available:random-action-of-type:drag-action:random-action-of-type:type-action:random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:,GAEJPI7GAHHVCV325Y,GAEJPI7GHVCV325Y,1.0,14.0,10.0,10.0,8.0,10.0,1.0,0.0,0.0,0.1111111111111111,2019-05-01 20:32:43
0,89,if-then-else:and:equals:number-of-actions:number-of-unexecuted-drag-actions:not:state-has-not-changed:if-then-else:and:left-clicks-available:left-clicks-available:random-action-of-type:drag-action:random-action-of-type:type-action:random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:,GAEJPI7GAHHVCV325Y,GAEJPI7GHVCV325Y,1.0,12.5,10.0,10.0,7.0,10.0,1.0,0.0,0.0,0.125,2019-05-01 20:33:09
0,90,random-unexecuted-action:,1,1,1.0,15.0,10.0,10.0,5.0,10.0,0.0,0.0,0.0,0.16666666666666666,2019-05-01 20:33:39
0,91,random-unexecuted-action:,1,1,1.0,17.0,10.0,10.0,5.0,10.0,0.0,0.0,0.0,0.16666666666666666,2019-05-01 20:34:09
0,92,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,12.0,10.0,10.0,4.0,7.0,0.0,0.0,0.0,0.2,2019-05-01 20:34:36
0,93,random-action-of-type-other-than:hit-key-action:,W6,W6,1.0,11.0,10.0,10.0,3.5,6.0,0.0,0.0,0.0,0.2222222222222222,2019-05-01 20:35:00
0,94,if-then-else:not:equalstype:hit-key-action:type-action:if-then-else:equalstype:type-action:drag-action:random-action:random-action-of-type-other-than:type-action:random-least-executed-action:,GI863G83CUW3X,W3,1.0,16.0,10.0,10.0,4.0,9.0,0.0,0.0,0.0,0.2,2019-05-01 20:35:31
0,95,if-then-else:not:equalstype:hit-key-action:type-action:if-then-else:equalstype:type-action:drag-action:random-action:random-action-of-type-other-than:type-action:random-least-executed-action:,GI863G83CUW3X,W3,1.0,13.5,10.0,10.0,5.0,8.5,0.0,0.0,0.0,0.16666666666666666,2019-05-01 20:35:58
1,0,if-then-else:and:equals:number-of-actions:number-of-unexecuted-drag-actions:not:state-has-not-changed:if-then-else:and:left-clicks-available:left-clicks-available:random-action-of-type:drag-action:random-action-of-type:type-action:random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:,GAEJPI7GAHHVCV325Y,GAEJPI7GHVCV325Y,1.0,12.5,10.0,10.0,7.0,10.0,1.0,0.0,0.0,0.125,2019-05-01 20:35:58
1,0,if-then-else:and:equals:number-of-actions:number-of-unexecuted-drag-actions:not:state-has-not-changed:if-then-else:and:left-clicks-available:left-clicks-available:random-action-of-type:drag-action:random-action-of-type:type-action:random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:,GAEJPI7GAHHVCV325Y,GAEJPI7GHVCV325Y,1.0,12.5,10.0,10.0,7.0,10.0,1.0,0.0,0.0,0.125,2019-05-01 20:35:58
1,96,random-action:,U,U,1.0,16.0,10.0,10.0,6.0,7.0,0.0,0.0,0.0,0.14285714285714285,2019-05-01 20:36:29
1,97,random-action:,U,U,1.0,13.5,10.0,10.0,6.0,8.0,0.0,0.0,0.0,0.14285714285714285,2019-05-01 20:36:54
1,0,random-unexecuted-action:,1,1,1.0,17.0,10.0,10.0,5.0,10.0,0.0,0.0,0.0,0.16666666666666666,2019-05-01 20:36:54
1,0,if-then-else:and:equals:number-of-actions:number-of-unexecuted-drag-actions:not:state-has-not-changed:if-then-else:and:left-clicks-available:left-clicks-available:random-action-of-type:drag-action:random-action-of-type:type-action:random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:,GAEJPI7GAHHVCV325Y,GAEJPI7GHVCV325Y,1.0,12.5,10.0,10.0,7.0,10.0,1.0,0.0,0.0,0.125,2019-05-01 20:36:54
2,0,if-then-else:and:equals:number-of-actions:number-of-unexecuted-drag-actions:not:state-has-not-changed:if-then-else:and:left-clicks-available:left-clicks-available:random-action-of-type:drag-action:random-action-of-type:type-action:random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:,GAEJPI7GAHHVCV325Y,GAEJPI7GHVCV325Y,1.0,12.5,10.0,10.0,7.0,10.0,1.0,0.0,0.0,0.125,2019-05-01 20:36:54
2,98,random-unexecuted-action-of-type:drag-action:,2C,2C,1.0,13.0,10.0,10.0,6.0,7.0,10.0,0.0,0.0,0.14285714285714285,2019-05-01 20:37:22
2,99,random-unexecuted-action-of-type:drag-action:,2C,2C,1.0,13.0,10.0,10.0,6.0,8.0,10.0,0.0,0.0,0.14285714285714285,2019-05-01 20:37:49
2,0,if-then-else:and:equals:number-of-actions:number-of-unexecuted-drag-actions:not:state-has-not-changed:if-then-else:and:left-clicks-available:left-clicks-available:random-action-of-type:drag-action:random-action-of-type:type-action:random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:,GAEJPI7GAHHVCV325Y,GAEJPI7GHVCV325Y,1.0,12.5,10.0,10.0,7.0,10.0,1.0,0.0,0.0,0.125,2019-05-01 20:37:49
2,0,random-action:,U,U,1.0,13.5,10.0,10.0,6.0,8.0,0.0,0.0,0.0,0.14285714285714285,2019-05-01 20:37:49
2,100,random-action-of-type:drag-action:,VC,VC,1.0,20.0,10.0,10.0,5.0,7.0,10.0,0.0,0.0,0.16666666666666666,2019-05-01 20:38:23
2,101,random-action-of-type:drag-action:,VC,VC,1.0,19.0,10.0,10.0,6.0,6.5,10.0,0.0,0.0,0.14285714285714285,2019-05-01 20:38:56
3,0,if-then-else:and:equals:number-of-actions:number-of-unexecuted-drag-actions:not:state-has-not-changed:if-then-else:and:left-clicks-available:left-clicks-available:random-action-of-type:drag-action:random-action-of-type:type-action:random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:,GAEJPI7GAHHVCV325Y,GAEJPI7GHVCV325Y,1.0,12.5,10.0,10.0,7.0,10.0,1.0,0.0,0.0,0.125,2019-05-01 20:38:56
3,0,if-then-else:and:equals:number-of-actions:number-of-unexecuted-drag-actions:not:state-has-not-changed:if-then-else:and:left-clicks-available:left-clicks-available:random-action-of-type:drag-action:random-action-of-type:type-action:random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:,GAEJPI7GAHHVCV325Y,GAEJPI7GHVCV325Y,1.0,12.5,10.0,10.0,7.0,10.0,1.0,0.0,0.0,0.125,2019-05-01 20:38:56
3,102,random-action-of-type:type-action:,V3,V3,1.0,9.0,10.0,10.0,6.0,6.0,10.0,0.0,0.0,0.14285714285714285,2019-05-01 20:39:19
3,103,random-action-of-type:type-action:,V3,V3,1.0,13.0,10.0,10.0,6.0,7.0,10.0,0.0,0.0,0.14285714285714285,2019-05-01 20:39:47
3,0,random-unexecuted-action:,1,1,1.0,17.0,10.0,10.0,5.0,10.0,0.0,0.0,0.0,0.16666666666666666,2019-05-01 20:39:47
3,104,if-then-else:and:equals:number-of-actions:number-of-unexecuted-drag-actions:not:state-has-not-changed:if-then-else:and:left-clicks-available:left-clicks-available:random-action-of-type:type-of-action-of:random-action-of-type-other-than:click-action:random-action-of-type:type-action:random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:,GAEJPI7GAHHV5WBV325Y,GAEJPI7GHV5WBV325Y,1.0,11.0,10.0,10.0,7.0,10.0,2.0,0.0,0.0,0.125,2019-05-01 20:40:13
3,105,if-then-else:and:equals:number-of-actions:number-of-unexecuted-drag-actions:not:state-has-not-changed:if-then-else:and:left-clicks-available:left-clicks-available:random-action-of-type:type-of-action-of:random-action-of-type-other-than:click-action:random-action-of-type:type-action:random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:,GAEJPI7GAHHV5WBV325Y,GAEJPI7GHV5WBV325Y,1.0,15.0,10.0,10.0,7.0,10.0,1.5,0.0,0.0,0.125,2019-05-01 20:40:44
